filename/tiff,derivative filename/jpeg,identifier/filename,title,description,isFormatOf/OrigItemNo.,date,subject/topic,subject/location,spatial/location/latitude/longitude (degrees),extent/size,tablecontents/boxes/folders,medium/format/type,source/RG#/MS#,isPartOf/Collection,creator/photographer,contributor/collector,rights,publisher/repository,language,rosetta collection
390511-01690.jpg,,390511-01690,1887-1888 Baseball Team,1887-1888 Baseball Team,,1887,University of Nebraska Baseball,,,,,,390511,,,,,"Archives & Special Collections, University of Nebraska-Lincoln Libraries",,
330000-0003.jpg,,330000-0003,Pershing,J. J. Pershing in 1893 Souvenir Book,,1893,University of Nebraska Cadet Battalion,,,,,,330000,,,,,,,
390500-00001.jpg,,390500-00001,"2nd Team, 1891",Football team of 1891,,1891,University of Nebraska Football,,,,,,390500,,,,,,,
