filename,category,patch_date,patch_title,patch_description,concerns
421202-01181,group,,Band photograph on the Nebraska Capitol steps,,
421202-01188,group,,Band photograph on the Nebraska Capitol steps,,
421202-01401,people,,,,
421202-01774,people,,Snider speaks with band members,Band Leader with Band Members.,
421202-01809,people,,,,
421202-01855,people,,,,
421202-01859,people,,,,
421202-01964,parade,,,,
421202-01965,parade,,,,
421202-01994,group,,,,
421202-02026,field,,,,
421202-03303,group,,Annual Competition,,
421202-04601,parade,,,,
421202-05579,group,,,,
421202-pp6138,field,,Trombones,,
421202-pp6173,people,,Trumpet player,,
421203-00019,parade,,,,
421203-00095,group,,,,
421203-00099,people,,,,
421203-00101,people,TODO,,,pershing day
421203-00105,parade,TODO,,,
421203-00149,parade,,,,
421203-02430,field,,,,
421203-02431,field,,,,
421203-02719,aerial,,,,or group?
421203-02762,parade,,,"Original caption: ""Commencement exercises, parade on 12th Street."" Birds-eye view of graduates and faculty wearing academic robes and mortar boards parading down the center of the street. Rather than single-file, they are walking in rectangular formation like a marching band or military unit. They may be grouped by college. A few scattered spectators stand along the route. Campus buildings and cars are also part of the view.",
421203-02829,parade,,,,
421203-02873,parade,,,,
421203-03216,parade,,,,
421203-03254,aerial,,,,
421203-03333,field,,,,
421203-03340,field,,,,
421203-03347,field,,,,
421203-03348,field,,,,
421203-03356,field,,,,
421203-03364,parade,,,,
421203-03368,parade,,,,
421203-03399,field,,,,
421203-03412,field,,,,
421203-03416,field,,,"Caption: ""In the front of the football audience, band members hold their instruments in front of them"". The date of this photo may not be accurate as the uniforms they are wearing were replaced in 1936",
421203-03574,people,,Pershing Day, General Pershing and a man in military uniform hold a trophy, others in uniform standing in lines on other side of the two.,
421203-03611,parade,,,,
421203-03628,parade,,Cadet review,,
421203-03666,parade,,Untitled,,
421203-03721,group,,,,
130815-00019,parade,,,,
130815-00021,people,,,,
130815-00022,people,,,,
130815-00023,group,,Cadet band on library steps,"Original caption: ""on old library steps (now Arch. Hall) . Director-August Hagenow. Claire Cornell front, left.",Note: fixed spelling in original description
130815-00025,group,,,,
130815-00027,parade,,,,
130815-00028,field,,,,
130815-00029,parade,,,"Original caption: ""Homecoming Parade-O st. Glassford's Days 195."" The Marching Band marches down O street in downtown Lincoln. JC Penney department store can be seen in the background.",fixes typo
130815-00030,parade,,,"Original caption: ""Homecoming Parade-O st."" The Marching Band marches down O street in downtown Lincoln. JC Penney department store can be seen in the background.",fixestypo
130815-00039,field,,,,
130815-00040,aerial,,Waiting for the first twirler to appear,Waiting for Joyce Burns to leap from the inside of Big Bertha,
130815-00042,people,,"Jeff Klintberg, Lynn Moeller, Bob Slie, Susie Kunc","Original caption: '1967. Jeff Klintberg, Lynn Moeller, Bob Slie, Susie Kunc.' Band members pose on the bleachers of Memorial Stadium.",
130815-00043,people,,,,
130815-00045,people,,Album Cover,,
130815-00046,aerial,,,,
130815-00047,group,,,,
130815-00050,people,,,,
130815-00051,field,,,,Is this in honor of Bob Devaney?
130815-00052,people,,Diane Tangeman,Baton twirler Diane Tangeman raises her hands on Memorial Stadium field,
130815-00053,field,,,,
130815-00054,field,,,,
130815-00055,people,,Dr. Fought conducts rehearsal,"Original caption: ""God speaks. Rehearsal. Bob Fought"" The marching band rehearses while seated in an auditorium.",
130815-00056,people,,Kevin Moore and Dave Deyloff,,
130815-00057,aerial,,,,
130815-07226,people,,,,
130815-07227,people,,,,
130815-07228,people,,,Marching Band Director Donald Lentz studio portrait,
130815-07229,people,,,,
mb002,people,,,,
mb004,,,,,I want this item to show up linked from the timeline but not in any galleries
mb006,people,,,,
mb009,group,,,,
mb010,group,,,,I want this item to show up linked from the timeline but not in any galleries
mb011,people,,,,
mb012,people,,,,
mb014,parade,,,,
mb015,people,,,,
mb016,field,,,,
mb017,field,,,,
mb018,parade,,,,
mb019,parade,,,,
js001,people,,,,
